max,min,mean,std,median
163.4000,109.8000,140.7350,12.0529,142.2000
167.8000,111.4000,148.7250,12.5665,151.1000
169.4000,117.0000,152.0850,11.0015,154.1000
171.0000,126.6000,154.1500,10.1792,155.3000
170.2000,123.4000,156.9550,9.8760,158.4000
171.4000,134.4000,158.5150,8.6967,159.7000
172.2000,136.0000,159.5250,8.4924,160.8000
172.2000,135.4000,159.7750,8.4994,161.6000
172.6000,127.8000,160.1600,9.5619,161.8000
172.6000,136.2000,161.5600,8.1413,163.1000
173.2000,136.4000,161.0000,8.2592,162.0000
173.0000,138.6000,161.7400,7.9807,162.7000
173.2000,133.2000,161.9500,8.5070,164.1000
173.2000,143.0000,162.4100,7.8582,163.5000
173.4000,140.0000,162.8600,7.8133,163.8000
173.4000,133.4000,161.9350,9.8128,164.7000
174.2000,143.0000,164.1350,8.0155,165.9000
173.6000,134.2000,163.4700,9.1566,166.0000
173.8000,130.0000,161.8550,10.7130,163.6000
173.8000,132.6000,163.8100,9.7005,167.2000
173.6000,134.2000,162.6000,10.3849,166.0000
174.4000,134.2000,164.2200,9.8387,167.7000
174.0000,134.2000,163.6150,10.5250,167.7000
175.0000,139.6000,165.9100,8.8938,169.6000
174.8000,139.2000,167.1050,8.2140,171.4000
174.0000,141.8000,167.3350,8.3253,171.3000
175.0000,139.8000,166.8400,8.7350,170.2000
174.2000,138.0000,166.8700,9.5624,171.3000
175.2000,147.8000,168.4700,6.9206,169.9000
175.2000,142.0000,168.1950,7.8267,170.9000
175.4000,145.6000,168.8500,6.6627,170.4000
174.8000,147.4000,169.5050,6.2356,171.4000
175.4000,143.8000,169.8500,6.6812,171.4000
175.0000,144.2000,170.1450,5.9056,171.6000
175.4000,152.8000,170.7350,4.9615,171.9000
175.2000,154.2000,171.2800,4.1077,171.6000
174.8000,134.4000,170.3400,7.7591,171.6000
175.2000,138.8000,170.8150,6.1924,171.8000
175.2000,149.2000,171.0850,4.6841,171.6000
175.4000,162.6000,171.7300,2.5993,171.5000
175.4000,157.8000,171.7850,3.0941,171.8000
175.4000,152.4000,171.6850,3.9054,171.7000
174.6000,160.2000,171.8450,2.5293,171.6000
175.4000,165.4000,172.0200,1.9632,171.5000
175.4000,153.6000,171.7950,3.5773,171.7000
175.4000,156.4000,171.5650,3.4309,171.8000
175.4000,169.4000,172.1500,1.2939,171.5000
175.4000,169.6000,172.1850,1.2968,171.4000
174.8000,167.0000,172.1300,1.4082,171.6000
175.4000,171.4000,172.1650,1.1149,171.4000
175.4000,158.8000,171.9800,2.7811,171.9000
175.4000,160.6000,172.0250,2.4807,172.0000
175.2000,171.4000,172.3300,1.1225,171.7000
175.2000,171.4000,172.2950,1.0952,171.7000
175.2000,165.6000,172.0400,1.7929,171.8000
175.4000,160.8000,172.0150,2.4935,171.6000
175.4000,171.4000,172.3200,1.2134,171.5000
175.2000,166.2000,172.1650,1.8375,171.7000
175.0000,171.4000,172.2550,1.0675,171.7000
175.0000,170.6000,172.2800,1.1672,171.4000
175.0000,171.4000,172.3900,1.0480,172.1000
175.4000,171.4000,172.4550,1.1781,172.2000
175.4000,166.8000,172.1100,1.7027,171.6000
175.2000,171.4000,172.2800,1.0478,171.8000
175.2000,171.4000,172.4450,1.1674,172.2000
175.4000,163.8000,172.1450,1.9914,171.8000
175.2000,162.8000,172.0100,2.3528,171.5000
175.4000,168.6000,172.3050,1.4585,171.9000
175.4000,170.4000,172.3500,1.2678,171.6000
175.4000,171.4000,172.2350,1.1108,171.6000
175.2000,171.4000,172.3300,1.0887,171.8000
175.2000,171.4000,172.3450,1.0990,171.9000
175.0000,168.6000,172.2150,1.4231,171.7000
175.4000,171.4000,172.3400,1.2168,171.7000
175.4000,171.4000,172.2850,1.1304,171.5000
175.0000,171.4000,172.2950,1.0566,171.8000
174.6000,171.4000,172.2650,1.0107,171.7000
175.0000,171.4000,172.3500,1.0871,172.0000
175.4000,171.4000,172.3500,1.1964,171.9000
175.0000,171.4000,172.4400,1.1661,172.1000
175.2000,171.4000,172.3000,1.1192,171.5000
175.2000,171.4000,172.2150,1.0783,171.6000
175.2000,171.4000,172.2700,1.1001,171.6000
175.2000,171.4000,172.4150,1.1736,172.1000
175.2000,171.4000,172.2950,1.1658,171.6000
175.0000,171.4000,172.2350,1.1010,171.5000
175.0000,171.4000,172.3800,1.1604,171.8000
175.2000,171.4000,172.3150,1.1220,171.6000
175.2000,171.4000,172.3900,1.0897,172.2000
175.4000,171.4000,172.4100,1.1955,171.8000
175.4000,171.4000,172.3750,1.0785,172.0000
175.0000,171.4000,172.3150,1.1328,171.7000
175.2000,171.4000,172.2250,1.1461,171.6000
174.8000,171.4000,172.2950,1.0455,171.6000
175.4000,171.4000,172.3700,1.1820,171.8000
174.8000,171.4000,172.1800,1.0309,171.6000
175.4000,171.4000,172.4700,1.1460,172.2000
175.2000,171.4000,172.4150,1.1764,171.9000
175.4000,171.4000,172.4050,1.2406,171.8000
175.4000,171.4000,172.2650,1.1397,171.7000
175.4000,171.4000,172.3950,1.1850,171.7000
175.2000,171.4000,172.3850,1.1552,172.0000
175.0000,171.4000,172.4600,1.1478,172.2000
174.8000,171.4000,172.2650,1.0673,171.6000
175.0000,171.4000,172.2700,1.0949,171.7000
175.0000,171.4000,172.3050,1.0818,171.8000
175.2000,171.4000,172.2750,1.0461,171.7000
175.0000,171.4000,172.2100,1.1210,171.5000
175.2000,171.4000,172.3800,1.1103,172.2000
175.4000,171.4000,172.4250,1.2782,171.9000
175.4000,171.4000,172.3700,1.1646,172.1000
175.0000,171.4000,172.2300,1.0316,171.6000
175.2000,171.4000,172.4350,1.1838,172.0000
175.4000,171.4000,172.4200,1.1730,172.0000
174.8000,171.4000,172.2350,1.0675,171.4000
175.2000,171.4000,172.1500,1.0411,171.5000
175.4000,171.4000,172.4300,1.1844,171.9000
175.4000,171.4000,172.4500,1.1191,172.1000
175.4000,171.4000,172.3350,1.0976,171.9000
175.4000,171.4000,172.2200,1.0588,171.7000
175.2000,171.4000,172.3900,1.2280,171.8000
175.0000,171.4000,172.2550,1.1554,171.4000
175.4000,171.4000,172.3700,1.1993,171.6000
175.0000,171.4000,172.2700,1.1505,171.6000
175.4000,171.4000,172.3100,1.1394,171.8000
175.2000,171.4000,172.3600,1.1361,171.6000
175.0000,171.4000,172.3550,1.1558,172.0000
175.4000,171.4000,172.4100,1.1711,172.0000
175.2000,171.4000,172.3550,1.1991,171.8000
175.2000,171.4000,172.4350,1.0927,172.2000
175.0000,171.4000,172.3500,1.1291,171.6000
175.2000,171.4000,172.2500,1.0919,171.4000
175.2000,171.4000,172.2850,1.1191,171.7000
175.4000,171.4000,172.4750,1.1878,172.1000
175.4000,171.4000,172.4300,1.1590,172.1000
175.4000,171.4000,172.4050,1.1382,172.0000
175.2000,171.4000,172.3850,1.1103,172.0000
175.4000,171.4000,172.3500,1.1824,171.6000
175.0000,171.4000,172.4650,1.1940,172.1000
175.4000,171.4000,172.3300,1.1481,171.6000
175.4000,171.4000,172.3350,1.1587,171.7000
175.4000,171.4000,172.3200,1.1196,171.7000
175.4000,171.4000,172.3250,1.1548,171.8000
175.4000,171.4000,172.3250,1.2176,171.6000
175.4000,171.4000,172.3100,1.2051,171.6000
175.2000,171.4000,172.2550,1.1670,171.6000
174.8000,171.4000,172.1250,0.9665,171.5000
174.8000,171.4000,172.2800,1.0573,171.8000
175.0000,171.4000,172.5000,1.2295,172.1000
175.4000,171.4000,172.2250,1.1426,171.4000
175.4000,171.4000,172.4600,1.2227,172.0000
175.4000,171.4000,172.3700,1.1003,172.0000
175.4000,171.4000,172.2800,1.1247,171.6000
175.0000,171.4000,172.2000,1.0748,171.4000
175.4000,171.4000,172.4500,1.2518,171.9000
175.0000,171.4000,172.2750,1.1020,171.6000
175.4000,171.4000,172.3850,1.2620,171.6000
