max,min,mean,std,median
162.6000,110.8000,140.6950,11.3850,142.4000
166.0000,120.2000,150.0450,10.9261,151.7000
169.6000,112.4000,154.3750,11.7919,157.9000
171.0000,124.4000,157.8050,10.8369,160.9000
171.4000,123.2000,159.4650,10.2922,162.1000
173.4000,135.8000,160.6350,8.9370,162.7000
173.4000,135.4000,162.1400,8.4205,164.7000
173.4000,134.2000,163.4350,8.0842,164.9000
173.4000,139.4000,163.1000,7.8809,164.9000
173.4000,135.8000,163.2500,8.5930,165.1000
173.8000,126.6000,162.4100,10.0722,165.2000
174.2000,139.6000,165.1000,7.9166,166.8000
173.6000,142.4000,164.1000,7.3673,165.4000
174.4000,143.0000,164.5350,7.7135,166.4000
174.6000,142.6000,166.5100,6.9721,167.9000
174.4000,141.2000,165.2050,7.6624,167.5000
174.6000,135.8000,165.5050,8.6431,168.4000
173.6000,140.6000,165.1650,7.4468,166.2000
174.8000,146.6000,166.4000,6.4022,167.7000
174.4000,144.4000,166.1950,6.7060,167.5000
174.4000,138.2000,166.5800,7.8156,168.5000
174.8000,148.8000,167.0950,6.0367,168.3000
174.6000,146.4000,167.0800,6.6206,168.1000
174.8000,145.2000,165.8450,7.1677,167.4000
174.6000,148.6000,167.0550,5.7555,168.3000
174.8000,149.8000,167.4450,5.5742,168.0000
174.4000,151.4000,166.6650,5.9048,167.0000
174.8000,153.8000,167.0900,5.3188,168.1000
174.8000,151.0000,167.4400,5.2710,167.9000
174.8000,149.4000,166.6050,5.5585,167.1000
174.6000,151.2000,167.3350,5.6162,167.8000
174.6000,157.8000,167.1450,4.5009,167.2000
174.4000,159.6000,167.2550,4.4047,166.9000
174.8000,149.0000,166.8300,5.7236,166.7000
174.4000,154.6000,167.1900,5.1818,167.6000
174.8000,154.0000,167.5450,4.7762,167.6000
174.8000,154.2000,167.3900,5.3709,167.8000
174.2000,149.6000,166.9700,5.5919,167.8000
174.4000,155.6000,168.2400,4.8557,169.2000
174.8000,153.8000,167.1750,4.4544,166.1000
173.4000,153.8000,167.1550,4.7197,167.0000
174.8000,155.2000,166.9150,5.2439,167.2000
174.8000,155.8000,167.7050,4.4939,166.9000
174.8000,157.0000,167.8300,4.4183,168.5000
174.8000,159.6000,167.1250,4.2152,166.9000
174.8000,155.2000,167.8500,5.1342,169.3000
174.8000,155.4000,166.8050,4.7986,167.0000
173.6000,158.6000,167.2250,4.2698,167.1000
174.8000,156.2000,168.0600,4.7723,168.5000
174.6000,159.6000,167.8500,4.1358,168.1000
174.6000,161.4000,167.7200,4.0607,167.9000
174.4000,155.0000,168.0000,4.5766,168.1000
174.8000,161.2000,168.0600,3.7049,167.8000
174.8000,160.8000,167.9700,4.1177,167.3000
173.8000,159.6000,167.3800,4.1130,167.9000
174.8000,159.4000,167.5850,4.4095,167.2000
174.8000,159.6000,167.5600,4.4525,167.0000
174.8000,159.6000,167.8500,4.4937,167.6000
174.8000,161.2000,167.6950,4.0346,167.1000
174.8000,161.0000,167.0300,4.0636,167.0000
174.8000,159.6000,167.9400,4.1129,167.9000
174.8000,156.4000,167.8250,4.2998,167.9000
174.6000,161.2000,167.7550,3.9749,167.2000
174.2000,161.8000,168.0100,3.6357,167.8000
174.8000,159.0000,168.2300,3.9552,168.3000
174.4000,159.6000,167.0850,4.3113,167.2000
174.8000,161.0000,168.1450,4.0247,168.9000
174.8000,161.0000,167.8050,4.1304,168.0000
174.8000,161.2000,167.2400,4.3830,165.9000
174.4000,161.0000,168.2350,4.0292,168.6000
174.6000,159.6000,167.5100,3.7439,167.3000
174.8000,159.6000,167.4550,4.2620,168.0000
174.4000,160.6000,168.3150,4.0481,168.5000
174.8000,161.2000,167.8050,3.9046,168.1000
174.8000,161.4000,167.4550,4.0774,166.8000
174.2000,159.6000,167.3150,4.3733,167.6000
174.2000,157.4000,167.1800,4.5700,166.5000
174.4000,161.0000,167.9300,4.0604,167.6000
174.8000,156.8000,167.9350,4.2194,168.4000
174.8000,159.6000,167.5050,4.1934,167.0000
174.8000,161.2000,168.0600,3.8806,168.2000
174.8000,161.2000,167.4150,4.0569,167.3000
173.8000,161.0000,167.6000,3.9034,167.0000
174.2000,156.8000,166.8750,4.2569,166.8000
174.4000,161.2000,168.0400,3.7807,168.1000
174.2000,161.2000,168.4650,3.6538,168.9000
174.6000,161.0000,167.8850,3.8326,168.1000
174.8000,161.2000,167.7800,3.7197,167.5000
174.4000,161.2000,168.1800,3.7311,168.7000
174.0000,161.2000,167.4250,3.6739,166.8000
174.8000,161.2000,167.3500,4.0124,167.0000
174.4000,161.2000,167.9050,3.6907,168.3000
174.4000,160.4000,167.6650,3.8418,167.2000
174.8000,159.6000,167.8150,4.0595,168.2000
174.4000,159.6000,167.8650,4.0386,167.9000
174.4000,161.2000,167.5700,3.9188,167.2000
174.8000,159.6000,167.1650,4.5917,166.0000
174.8000,159.6000,167.3650,4.1327,167.0000
174.6000,161.2000,167.7200,4.1364,168.3000
174.4000,159.6000,168.1300,4.1591,168.4000
174.8000,161.0000,168.0550,4.4216,168.2000
174.8000,159.0000,167.5150,4.4835,168.0000
174.8000,161.2000,168.2150,4.0134,168.6000
174.6000,160.4000,168.0850,4.1698,169.5000
174.6000,161.0000,166.7300,4.2688,166.0000
173.4000,161.0000,168.1950,3.5467,168.3000
