max,min,mean,std,median
908.6000,830.6000,873.3080,14.2194,873.3000
943.2000,881.2000,914.0220,11.5423,914.8000
954.8000,900.2000,930.6250,9.8018,931.1000
962.4000,912.4000,941.6410,8.3751,941.9000
968.0000,924.6000,949.5330,7.8872,950.1000
970.2000,931.0000,954.2160,7.4887,954.7000
972.8000,933.2000,958.0450,7.2857,958.6000
974.2000,936.0000,961.6090,7.1841,962.4000
975.0000,941.4000,964.8100,6.5972,965.6000
976.0000,936.2000,967.3520,6.4865,968.9000
977.2000,937.0000,968.4010,6.3595,969.9000
978.2000,944.4000,970.5190,6.1137,972.5000
978.8000,950.4000,971.6270,5.0679,972.6000
978.8000,947.8000,971.8820,5.5480,972.8000
979.2000,949.4000,972.5900,5.1261,973.4000
979.6000,954.4000,972.7870,5.1259,974.0000
980.2000,954.6000,973.2070,4.8614,974.2000
980.6000,952.8000,974.0910,4.8437,974.6000
981.2000,948.6000,973.2870,5.6471,974.0000
981.4000,954.4000,973.5790,5.8095,974.8000
981.6000,954.2000,974.9280,4.6226,975.9000
982.0000,955.0000,973.9180,5.2015,974.8000
982.2000,956.2000,974.0130,5.8202,975.4000
982.2000,954.2000,975.2800,5.3381,976.2000
982.2000,952.0000,975.9890,5.2348,976.8000
982.6000,953.8000,976.2790,4.6474,977.0000
982.6000,955.0000,975.9210,4.8441,976.6000
982.8000,956.8000,976.5850,4.6364,977.6000
982.8000,961.0000,976.7910,4.5652,977.8000
982.8000,962.4000,976.9580,4.3438,978.0000
982.8000,958.8000,976.7550,4.7108,977.8000
982.8000,952.2000,976.6610,4.8131,977.5000
982.8000,959.2000,976.9310,4.7315,977.5000
982.8000,957.8000,976.9250,4.7669,977.6000
982.8000,958.2000,976.8200,4.8776,977.6000
982.8000,950.6000,976.9300,4.9863,977.6000
982.8000,954.4000,976.9110,4.9592,978.0000
982.8000,955.6000,976.9760,4.8415,978.0000
982.8000,958.4000,977.0120,4.6760,978.1000
983.0000,955.8000,977.1900,4.8180,978.4000
983.0000,953.8000,975.7540,5.6632,976.9000
983.2000,958.2000,976.8100,4.7645,977.7000
983.2000,955.8000,977.3420,4.8408,978.2000
983.2000,961.6000,977.6330,4.4267,978.6000
983.2000,958.0000,977.5580,4.4410,978.6000
983.2000,956.4000,977.2280,4.8167,978.4000
983.2000,959.0000,977.3040,4.5356,978.3000
983.2000,960.0000,977.1550,4.5249,978.1000
983.2000,960.4000,977.6830,4.1555,978.6000
983.2000,957.8000,977.0000,4.9025,978.0000
983.2000,953.0000,977.1040,4.7085,978.0000
983.2000,960.2000,977.2140,4.4785,978.0000
983.2000,953.8000,977.3700,4.7531,978.2000
983.2000,959.4000,976.9990,4.6496,978.0000
983.2000,949.6000,976.9940,4.7225,977.7000
983.2000,951.4000,976.8420,4.8908,977.2000
983.2000,953.4000,977.2640,4.7488,978.2000
983.2000,954.6000,977.3650,4.8639,978.6000
983.2000,958.6000,977.4130,4.4790,978.2000
983.2000,957.6000,977.0090,4.6846,977.4000
983.2000,959.0000,977.2240,4.4569,978.2000
983.2000,955.6000,977.2980,4.7572,978.0000
983.2000,956.4000,977.2270,4.4783,978.0000
983.2000,958.4000,977.0950,4.5545,977.6000
983.2000,959.8000,977.1450,4.6148,977.8000
983.4000,955.6000,977.2260,4.5467,977.8000
983.4000,953.4000,977.8110,4.7822,978.9000
983.4000,955.4000,977.6900,4.7349,979.0000
983.4000,957.8000,977.9140,4.6444,979.0000
983.4000,955.2000,977.8350,4.6108,978.7000
983.4000,951.6000,977.9980,4.7817,979.0000
983.4000,958.4000,978.1110,4.3690,979.0000
983.6000,956.4000,978.0900,4.4361,978.9000
983.6000,956.4000,977.3850,4.6221,978.0000
983.6000,956.4000,977.1330,4.6828,977.6000
983.6000,954.0000,976.9870,5.1152,977.8000
983.6000,958.4000,977.5700,4.6330,978.1000
983.6000,962.6000,977.3120,4.6653,977.6000
983.6000,957.0000,977.2430,4.7635,978.0000
983.6000,960.6000,977.3450,4.4617,977.8000
983.6000,958.0000,977.5080,4.8095,978.3000
983.6000,957.6000,977.5070,4.8200,978.2000
983.6000,959.2000,977.4440,4.9248,978.2000
983.6000,957.6000,977.4120,4.9439,978.0000
983.6000,954.0000,977.5170,4.9083,978.4000
983.6000,957.8000,977.6580,4.7847,978.5000
983.6000,961.4000,977.4530,4.7565,978.6000
983.6000,962.8000,977.6680,4.5689,978.4000
983.6000,956.2000,977.4850,5.2581,978.8000
983.6000,958.4000,977.2520,5.0956,978.4000
983.6000,959.4000,977.4780,4.6451,978.5000
983.6000,953.0000,977.7970,5.0043,978.9000
983.6000,956.0000,977.6820,4.8474,979.0000
983.6000,951.2000,977.8870,5.1178,979.2000
983.6000,953.8000,977.4860,5.1423,978.7000
983.6000,951.8000,977.7300,5.1660,979.0000
983.6000,955.2000,977.9360,4.9825,979.2000
983.6000,957.0000,977.7210,4.8703,978.9000
983.6000,952.6000,977.6400,4.9176,978.6000
983.6000,958.6000,977.6130,4.9413,978.6000
983.6000,953.4000,977.4230,4.8908,978.7000
983.6000,960.4000,977.8340,4.7498,979.0000
983.6000,959.2000,977.6210,5.0961,979.1000
983.6000,958.4000,977.7510,4.8070,979.0000
983.6000,956.2000,977.6450,4.8877,978.6000
983.6000,955.8000,977.5820,4.9929,978.6000
983.6000,954.8000,977.9040,5.0914,979.2000
983.6000,953.4000,977.4950,5.3637,978.8000
983.6000,959.2000,977.6390,4.8476,978.6000
983.6000,957.6000,977.6880,4.9620,979.0000
983.6000,956.8000,977.7930,4.7632,978.8000
983.6000,956.6000,977.7360,4.9180,978.9000
983.6000,961.4000,977.8310,4.7913,979.2000
983.6000,953.8000,977.3820,5.2721,978.8000
983.6000,952.2000,977.6370,5.0817,978.6000
983.6000,958.8000,977.7850,4.9244,978.8000
983.6000,956.8000,977.7280,5.1071,978.8000
983.6000,957.2000,977.7260,4.7592,978.7000
983.6000,961.0000,977.8640,4.6511,978.8000
983.6000,956.8000,977.8880,4.5914,978.8000
983.6000,950.8000,978.0130,4.9304,979.0000
983.6000,956.8000,977.9080,4.8542,979.1000
983.6000,958.4000,977.3450,5.0221,978.4000
983.6000,957.6000,977.9680,4.7073,978.8000
983.6000,960.0000,977.8830,4.7509,979.0000
983.6000,957.4000,977.6860,4.7892,978.6000
983.6000,961.0000,977.9690,4.6118,979.0000
983.6000,949.4000,977.7990,5.1082,978.8000
983.6000,958.2000,978.1100,4.6372,979.0000
983.6000,956.2000,977.9220,4.8141,978.8000
983.6000,951.4000,978.0520,4.7447,978.8000
983.6000,954.2000,978.1060,4.8598,979.4000
983.6000,958.0000,977.8710,4.7343,978.8000
983.6000,955.2000,977.7200,5.0038,978.8000
983.6000,954.4000,977.8000,4.9226,978.9000
983.6000,959.0000,978.2470,4.5662,979.0000
983.6000,957.2000,977.8190,4.6445,978.9000
983.6000,956.8000,977.9370,4.8399,979.2000
983.6000,949.0000,977.9660,4.8474,978.8000
983.6000,956.6000,978.1910,4.7197,979.0000
983.6000,953.2000,977.9620,5.1201,978.8000
983.6000,953.2000,977.9680,4.9040,979.0000
983.6000,953.6000,977.8260,5.1465,978.8000
983.6000,954.8000,978.1320,4.8816,979.0000
983.6000,954.0000,977.8350,5.0070,978.8000
983.6000,953.2000,978.1700,4.5946,979.0000
983.6000,949.4000,978.3560,4.9524,979.4000
983.6000,955.8000,978.2720,4.6796,979.2000
983.6000,951.4000,978.1060,4.9505,979.4000
983.6000,957.2000,978.2960,4.5669,979.3000
983.6000,956.2000,978.2820,4.5816,979.0000
983.6000,952.4000,978.3600,4.6881,979.0000
983.6000,955.6000,978.2900,4.5471,979.2000
983.6000,957.0000,978.4160,4.4691,979.2000
983.6000,957.4000,978.0810,4.6761,978.8000
983.6000,956.0000,978.3940,4.5652,979.2000
983.6000,958.2000,978.1320,4.3982,979.0000
983.6000,961.0000,978.5470,4.2296,979.4000
983.6000,957.4000,978.3290,4.4201,979.0000
983.6000,956.6000,978.4400,4.4406,979.4000
983.6000,959.4000,978.2410,4.5472,979.2000
983.6000,956.0000,978.3840,4.5516,979.2000
983.6000,951.8000,978.3230,4.7083,979.0000
983.6000,951.4000,978.2100,4.7425,979.0000
983.6000,956.0000,978.2990,4.4398,979.0000
983.6000,952.6000,978.0270,4.9037,979.0000
983.6000,955.4000,978.4810,4.7347,979.6000
983.6000,952.8000,977.9060,4.6744,978.8000
983.6000,952.2000,978.1750,4.7007,979.0000
983.6000,958.4000,978.3660,4.5494,979.4000
983.6000,955.0000,978.2500,4.6229,979.0000
983.6000,953.6000,978.3910,4.6756,979.0000
983.6000,958.4000,977.9890,4.8201,979.0000
983.6000,956.4000,978.1000,4.5790,978.6000
983.6000,955.0000,978.2110,4.7358,979.2000
983.6000,953.8000,978.3480,4.6902,979.2000
983.6000,958.2000,978.4130,4.4263,979.2000
983.6000,948.4000,978.3350,4.8842,979.0000
983.6000,957.6000,978.6790,4.4516,979.6000
983.6000,959.4000,978.4380,4.4547,979.6000
983.6000,955.8000,978.1060,4.7027,979.0000
983.6000,956.8000,978.3340,4.6205,979.0000
983.6000,959.6000,978.1120,4.6181,978.8000
983.6000,957.4000,978.3690,4.5861,979.6000
983.6000,959.6000,978.3420,4.4832,979.2000
983.6000,954.4000,978.3280,4.6494,979.0000
983.6000,955.0000,978.6910,4.4181,979.9000
983.6000,955.2000,978.0530,5.0818,979.2000
983.6000,960.0000,978.1740,4.4906,978.8000
983.6000,954.8000,978.1090,4.7397,979.2000
983.6000,959.2000,978.0080,4.6210,978.8000
983.6000,952.8000,978.0480,5.0582,979.1000
983.6000,959.2000,978.3470,4.4020,979.0000
983.6000,955.0000,978.3920,4.7304,979.6000
983.6000,959.8000,978.0860,4.3626,979.2000
983.6000,957.2000,978.5260,4.3249,979.4000
983.6000,955.2000,978.3900,4.4646,979.2000
983.6000,949.2000,978.2530,4.6371,978.6000
983.6000,954.6000,978.3970,4.6659,979.4000
983.6000,950.0000,978.2280,4.8712,979.6000
