max,min,mean,std,median
903.8000,842.2000,872.7480,13.3890,872.7000
933.8000,883.8000,909.7320,12.0535,910.7000
946.8000,908.2000,926.6600,8.8542,926.7000
952.6000,916.0000,937.0840,8.3920,937.7000
958.2000,921.6000,941.8240,7.7430,941.9000
963.6000,927.6000,947.5560,7.6761,948.1000
965.0000,930.8000,951.0800,7.7484,951.8000
968.0000,936.4000,954.9360,6.9322,955.1000
969.4000,941.4000,958.4160,6.6672,959.1000
970.8000,944.8000,961.1400,6.2991,962.0000
971.8000,946.8000,962.4400,6.1289,963.7000
971.8000,940.2000,961.4400,7.0338,962.5000
972.2000,941.8000,962.1120,6.6923,963.0000
973.0000,942.0000,962.9840,7.0566,964.1000
973.8000,945.6000,964.2880,6.7652,964.7000
974.4000,943.2000,966.3360,6.6515,967.2000
973.8000,951.4000,966.6920,5.4498,967.2000
974.6000,951.4000,967.3240,5.3275,968.0000
975.2000,953.2000,967.3840,5.1876,967.9000
975.6000,954.2000,969.5760,4.7027,970.7000
975.6000,948.6000,969.6200,5.3117,970.6000
976.2000,955.8000,970.6000,4.2358,971.8000
976.0000,952.4000,969.1480,4.9071,969.4000
975.8000,955.8000,970.3160,4.0090,971.1000
976.2000,956.8000,971.1640,3.8884,972.0000
975.6000,958.8000,970.8000,3.7347,971.2000
975.8000,960.6000,971.5600,3.1541,972.0000
975.6000,956.4000,970.6640,3.9775,971.5000
976.0000,958.0000,970.9880,3.6460,971.4000
976.2000,957.0000,970.3000,4.6191,971.2000
976.0000,957.6000,970.3320,4.1024,970.8000
976.0000,955.0000,970.9000,4.2482,971.8000
976.0000,957.0000,970.8960,4.1024,972.0000
976.2000,955.2000,971.0040,4.3057,972.2000
976.2000,958.2000,970.9400,4.0583,971.8000
976.8000,953.2000,971.0400,4.4961,971.8000
976.2000,956.4000,970.7840,4.2429,971.4000
976.6000,956.8000,971.0320,4.0737,971.8000
976.6000,956.8000,971.3360,4.1796,971.8000
976.8000,954.4000,971.5680,4.7446,972.5000
977.0000,962.6000,972.6680,3.3189,973.6000
976.8000,962.4000,972.1880,3.1770,972.3000
976.8000,958.4000,972.8000,3.2973,973.4000
976.6000,965.0000,972.4960,2.8426,972.7000
976.8000,957.4000,972.2720,3.9895,973.0000
977.0000,962.6000,972.9480,3.3455,973.9000
976.8000,962.0000,973.0960,2.8175,973.4000
977.2000,967.0000,973.1720,2.5870,973.7000
976.6000,958.0000,972.2440,3.8002,973.5000
976.8000,962.8000,972.9360,2.9808,973.6000
976.8000,967.0000,973.0960,2.4419,973.6000
976.8000,959.0000,972.2280,3.6421,972.5000
977.0000,961.0000,972.4080,3.5083,973.5000
976.8000,958.8000,972.8800,3.4045,973.8000
977.4000,959.8000,972.9560,3.4512,973.6000
976.4000,961.0000,972.2360,3.7302,973.6000
977.4000,964.6000,973.3520,3.0581,974.3000
977.4000,959.4000,972.1520,3.8248,972.8000
977.4000,961.8000,972.7120,3.4575,973.7000
977.6000,961.4000,973.4920,3.2475,973.8000
977.2000,960.8000,972.9080,3.3925,973.6000
977.2000,962.8000,972.9320,3.2325,973.5000
977.4000,959.4000,973.2600,3.5357,973.7000
977.6000,962.0000,973.0520,3.4813,973.9000
977.4000,965.0000,972.7640,2.9656,973.2000
977.6000,959.6000,973.1200,3.4836,974.2000
977.6000,963.6000,972.9960,3.5042,973.6000
977.6000,964.0000,972.9080,3.1968,973.5000
977.6000,968.0000,973.7080,2.5494,974.1000
977.4000,961.2000,973.2600,3.5176,974.3000
977.4000,963.8000,972.9200,3.4544,973.7000
977.4000,961.0000,973.0920,3.4552,973.9000
977.6000,958.6000,972.7520,3.9353,973.6000
977.6000,966.0000,973.4280,2.9165,974.6000
977.8000,961.6000,973.0280,3.5194,974.1000
977.6000,963.8000,973.0000,3.3375,973.6000
977.6000,962.0000,973.0040,3.4213,973.8000
977.6000,963.2000,972.9320,3.5512,974.0000
977.4000,961.2000,973.1360,3.5115,974.2000
977.4000,962.2000,973.1640,3.2928,974.0000
977.8000,962.0000,973.2920,3.3791,974.0000
977.8000,959.6000,973.2720,3.7650,974.6000
977.6000,964.8000,973.7360,2.9644,974.3000
977.2000,962.8000,973.0280,3.0888,973.9000
977.6000,959.6000,973.1240,3.6942,974.1000
977.4000,964.2000,973.2200,3.1196,974.1000
977.8000,957.0000,973.0880,3.8484,974.0000
977.8000,967.8000,973.8520,2.6717,974.4000
977.4000,961.4000,973.5840,3.3415,974.4000
977.6000,965.4000,973.7320,2.7114,974.6000
977.6000,963.6000,973.4080,2.8594,974.1000
977.2000,964.6000,973.7600,2.6051,974.4000
977.4000,957.8000,973.5160,3.8626,974.6000
977.6000,954.8000,973.2680,4.0506,974.2000
977.6000,965.8000,973.8200,2.7917,974.8000
977.6000,963.6000,973.9000,2.8337,974.8000
977.6000,961.4000,973.8400,3.4644,974.8000
977.4000,963.8000,973.6240,2.8569,974.3000
977.6000,964.0000,973.7520,2.8350,974.2000
977.4000,958.4000,973.1480,3.9756,974.4000
