max,min,mean,std,median
903.6000,841.2000,873.9920,13.9963,873.5000
923.2000,861.4000,895.0720,13.1783,895.5000
936.4000,877.2000,908.2640,11.9561,907.9000
941.8000,895.6000,920.0040,10.5074,919.9000
953.6000,906.4000,930.4720,10.0126,931.4000
957.4000,918.6000,936.7600,9.4447,937.4000
962.0000,918.4000,943.0200,8.7482,942.7000
966.4000,923.0000,946.8640,9.2488,947.6000
967.0000,927.6000,949.5280,8.8055,949.9000
970.8000,931.2000,951.9480,8.4305,952.3000
970.4000,935.8000,954.1760,8.0698,954.9000
973.2000,931.6000,954.2560,8.7599,955.1000
971.6000,938.6000,956.0640,7.6745,956.1000
972.2000,934.8000,955.9000,8.2827,955.4000
973.4000,935.2000,956.0480,8.3283,956.5000
972.6000,936.0000,955.6600,8.0846,955.8000
973.8000,936.6000,955.9440,8.1119,956.8000
973.4000,935.8000,956.4280,8.1358,956.4000
975.2000,935.2000,956.4160,8.5027,956.8000
973.8000,936.8000,956.0600,8.2636,955.9000
973.4000,940.2000,957.5520,7.5357,957.8000
973.6000,938.8000,957.2920,7.7554,957.0000
974.8000,928.8000,955.4440,9.7257,956.7000
973.6000,939.0000,956.9680,7.7372,957.3000
971.8000,938.4000,956.3800,7.3269,956.8000
975.4000,935.0000,957.4480,8.2518,958.3000
972.6000,933.6000,956.0280,8.3208,956.1000
974.6000,938.2000,957.2400,8.7449,957.1000
975.6000,936.8000,955.5480,9.2794,956.4000
975.6000,932.2000,956.2240,9.2012,956.6000
974.2000,930.8000,956.2680,8.7296,956.7000
973.2000,938.6000,957.2760,7.8824,957.9000
973.8000,937.6000,956.5920,8.1464,956.3000
973.8000,930.2000,955.7440,9.5098,956.0000
974.8000,933.6000,955.3120,8.4417,955.4000
973.2000,934.4000,956.0480,8.5629,957.7000
974.2000,933.8000,955.3520,9.0118,955.9000
974.4000,933.4000,956.3160,9.8846,957.1000
973.6000,932.8000,955.5040,8.8313,956.0000
973.4000,937.2000,955.9880,8.3038,956.1000
974.8000,929.4000,955.1080,9.3533,954.9000
974.0000,931.4000,956.0920,8.9680,956.2000
974.8000,934.4000,955.7800,8.6539,956.8000
973.0000,931.8000,955.7400,9.1160,956.1000
972.6000,933.0000,956.1680,8.9843,956.0000
971.8000,931.0000,956.0920,8.7364,956.6000
976.0000,930.4000,956.1400,9.3588,956.5000
973.4000,931.0000,956.0600,9.0918,957.4000
975.0000,931.2000,956.3560,9.4215,956.9000
975.0000,928.0000,955.6080,9.0654,956.1000
973.2000,932.8000,955.4640,8.5204,956.4000
973.6000,933.4000,956.6480,9.0547,957.2000
976.2000,931.6000,955.9040,9.4531,955.9000
973.0000,931.0000,955.6400,8.9173,955.7000
972.6000,933.4000,955.0320,9.2110,955.9000
974.0000,934.0000,955.5560,8.8511,955.8000
974.4000,930.2000,954.1560,9.3590,955.1000
971.8000,936.0000,954.7200,8.3558,955.0000
972.0000,932.4000,953.8480,9.2962,954.3000
975.8000,932.0000,955.2240,9.4384,955.7000
974.0000,934.6000,954.6240,8.7590,954.2000
973.4000,932.6000,955.5680,9.0648,955.7000
972.4000,932.4000,954.5440,9.1934,955.3000
973.6000,929.6000,955.2240,9.4353,955.7000
977.4000,933.0000,955.2680,9.2949,955.9000
974.6000,928.0000,953.8000,10.4543,954.5000
975.0000,935.2000,954.7840,8.8569,954.9000
973.8000,934.6000,955.6280,9.0832,956.2000
972.2000,930.6000,954.6080,9.6108,955.7000
974.6000,934.6000,955.3360,8.7258,955.8000
974.0000,934.2000,955.3720,8.9759,956.0000
974.6000,929.0000,955.1320,9.3783,955.5000
974.2000,937.0000,954.6760,8.8969,954.5000
974.0000,934.2000,955.2160,9.2386,955.6000
973.0000,930.4000,955.3040,9.0196,955.7000
972.6000,933.8000,953.9720,9.1262,954.3000
974.8000,930.6000,953.8440,9.3089,954.2000
973.8000,934.4000,956.1680,8.9633,956.7000
975.8000,932.2000,954.6120,9.3277,955.5000
974.2000,932.4000,955.0840,9.1218,955.8000
973.4000,931.0000,954.5200,9.9387,955.1000
974.8000,930.0000,954.7720,9.6075,955.6000
975.2000,926.2000,954.5320,10.4444,955.0000
973.2000,925.6000,954.8560,9.2097,955.4000
974.4000,932.2000,955.4920,8.7242,956.1000
974.8000,929.6000,954.5760,9.6711,954.5000
973.0000,930.8000,954.3640,9.5089,954.9000
972.4000,930.4000,954.0000,8.8425,953.9000
973.2000,931.6000,954.5880,9.6854,955.8000
972.2000,929.4000,953.9920,8.9422,954.3000
972.8000,927.0000,954.8280,9.2462,955.1000
971.6000,926.2000,954.3480,9.7431,955.1000
975.8000,927.8000,955.1720,9.8127,954.8000
975.8000,927.6000,953.9600,10.0605,955.3000
975.2000,924.2000,952.9160,10.1152,953.4000
973.4000,927.2000,954.3200,9.5907,955.9000
972.4000,931.2000,953.9760,9.0600,953.9000
974.8000,932.0000,954.3560,9.5727,954.9000
975.2000,932.0000,954.7760,8.8731,954.8000
974.8000,933.2000,954.2680,8.6519,954.6000
