max,min,mean,std,median
908.2000,836.6000,873.4360,13.8180,874.3000
933.4000,867.8000,904.4160,12.1999,904.0000
946.4000,886.0000,918.3370,11.0759,919.0000
952.0000,898.0000,928.3470,10.2658,928.7000
958.0000,908.0000,936.0130,9.2637,936.4000
963.8000,912.4000,941.2960,9.1183,941.6000
966.6000,917.0000,945.4940,8.7446,946.0000
969.4000,918.4000,950.4070,8.1422,951.0000
971.8000,927.8000,953.2860,8.0680,953.8000
975.6000,931.2000,956.1800,7.8544,956.4000
976.4000,933.2000,959.2550,7.8764,959.9000
978.4000,936.6000,961.3240,7.4733,961.7000
980.0000,936.8000,963.4090,8.1840,964.0000
981.2000,937.8000,965.7520,7.5921,966.4000
982.0000,945.4000,967.1530,7.4714,967.8000
983.6000,941.2000,969.1140,7.5462,969.7000
984.6000,946.0000,971.5210,7.3876,972.4000
985.0000,948.6000,973.7240,7.0809,974.6000
985.4000,951.2000,975.4010,6.6148,976.2000
985.6000,950.6000,977.0490,7.0884,978.8000
985.8000,951.4000,978.0770,6.4686,980.2000
986.0000,956.2000,979.2730,5.9724,981.3000
985.8000,950.6000,979.5670,5.9320,981.3000
986.4000,962.6000,980.9600,5.0216,982.6000
986.6000,959.2000,981.2900,4.8554,982.9000
986.6000,962.0000,981.9200,4.5702,983.3000
986.6000,954.0000,981.9410,5.0169,983.4000
986.6000,960.4000,982.6530,4.0228,984.0000
986.6000,960.6000,982.5470,4.3334,983.8000
986.6000,962.2000,982.8240,3.9673,983.8000
986.6000,962.4000,982.8690,3.5625,983.8000
986.6000,958.0000,982.9060,3.8396,984.0000
986.6000,963.4000,982.8680,3.5935,983.8000
986.6000,965.4000,982.9310,3.4534,984.0000
986.6000,961.2000,982.7210,3.5471,983.6000
986.6000,963.2000,982.8840,3.5586,984.0000
986.6000,964.8000,982.8440,3.4732,983.8000
986.4000,959.0000,982.8860,3.7533,983.9000
986.6000,967.2000,983.0930,3.2969,984.2000
986.6000,961.4000,982.9110,3.8138,984.0000
986.8000,965.4000,982.7980,3.6173,984.0000
986.8000,960.6000,982.8720,3.6053,983.6000
986.8000,966.8000,982.7460,3.3735,983.6000
986.8000,964.8000,982.5680,3.6651,983.6000
986.8000,965.6000,982.5970,3.6486,983.4000
986.8000,968.0000,982.6310,3.4181,983.5000
986.8000,964.2000,982.5860,3.4941,983.4000
987.0000,965.4000,982.3180,3.9239,983.6000
987.0000,968.2000,981.7540,3.7228,982.2000
987.0000,964.8000,981.7310,3.9807,982.8000
987.0000,963.8000,982.0810,3.7722,982.8000
987.0000,957.2000,982.0810,4.0457,983.2000
987.0000,959.2000,982.1130,4.0672,983.2000
987.0000,958.4000,981.9930,3.8609,983.0000
987.0000,958.6000,981.9690,3.9773,983.0000
987.0000,966.0000,982.1460,3.3640,983.0000
987.0000,961.4000,982.1880,3.6816,983.0000
987.0000,966.4000,982.0700,3.7807,983.2000
987.0000,965.4000,981.8940,3.8424,983.0000
986.8000,961.6000,981.9780,3.6883,983.0000
987.0000,962.0000,981.7460,4.0475,982.8000
987.0000,964.0000,981.9200,3.7677,982.8000
987.0000,964.2000,981.9680,3.8572,983.0000
987.0000,962.6000,981.6760,4.1165,982.8000
987.0000,962.0000,981.8600,3.9734,983.0000
987.0000,960.6000,981.9140,4.0165,983.0000
986.8000,962.4000,981.7930,4.0927,982.8000
987.0000,957.2000,981.7060,4.2824,983.1000
987.0000,963.4000,981.5960,3.9463,982.6000
987.0000,956.2000,981.5660,4.3792,982.8000
987.0000,964.4000,981.7280,4.0977,983.0000
987.0000,963.6000,981.7200,4.1434,982.8000
987.0000,960.4000,981.5690,4.1537,982.5000
987.0000,956.8000,981.7930,4.2874,982.8000
987.0000,963.6000,981.7830,4.2546,982.8000
987.0000,958.2000,981.7450,4.2649,982.8000
986.8000,959.4000,981.6670,4.2520,983.0000
987.0000,956.2000,981.7050,4.4820,983.0000
987.0000,967.4000,981.6870,3.9256,982.8000
987.0000,965.0000,981.7470,4.2296,982.9000
987.0000,957.6000,981.5040,4.5829,982.8000
987.0000,957.6000,981.6320,4.6452,982.8000
987.0000,961.8000,981.3320,4.5161,982.4000
987.0000,959.8000,981.6650,4.2535,982.6000
987.0000,959.6000,981.5580,4.4457,982.8000
987.0000,957.8000,981.7150,4.4310,983.0000
987.0000,959.8000,981.5790,4.5308,982.8000
987.0000,960.0000,981.6900,4.3020,982.7000
987.0000,959.8000,981.7070,4.0657,982.6000
987.0000,954.4000,981.3360,4.5826,982.4000
987.0000,965.2000,981.6750,4.1184,982.9000
987.0000,957.0000,981.6630,4.4115,982.7000
987.0000,963.0000,981.5280,4.2870,982.3000
987.0000,959.2000,981.5250,4.3322,982.5000
987.0000,958.2000,981.5670,4.2080,982.8000
986.8000,957.6000,981.6790,4.3041,983.0000
987.0000,960.8000,981.1880,4.2896,982.1000
987.0000,959.4000,981.6210,4.1142,982.9000
987.0000,959.4000,981.5350,4.2396,982.8000
987.0000,958.2000,981.5900,4.3027,982.6000
