max,min,mean,std,median,stderr (max),stderr (min),stderr (mean),stderr (std),stderr (median)
9019.0000,8771.0000,8902.2230,41.6179,8902.0000,10.9384,19.7847,3.5534,2.1140,2.6705
9544.4000,9385.0000,9467.4500,27.8851,9468.3000,7.4900,16.4498,6.3896,0.7820,6.3226
9713.0000,9572.8000,9649.9620,24.0945,9650.2000,15.6095,18.5593,5.4598,0.6814,4.6531
9796.8000,9680.6000,9744.4740,20.1031,9744.6000,6.3694,2.5645,4.3517,0.4210,3.8596
9846.6000,9732.4000,9798.6380,19.1204,9799.7000,4.3426,15.7056,2.9657,1.1951,3.6917
9872.2000,9771.0000,9830.9450,17.6680,9831.2000,5.1290,10.9926,2.7048,1.0906,2.7545
9893.0000,9789.4000,9852.5460,17.1472,9853.3000,3.0187,11.3752,1.5648,1.0644,2.0781
9903.6000,9809.2000,9865.5240,16.1133,9866.3000,5.7551,8.3836,1.9111,1.1866,2.4297
9914.6000,9806.2000,9873.5300,17.3337,9874.9000,6.3445,14.4551,1.3231,0.9203,1.5546
9920.0000,9830.0000,9878.8630,15.4951,9879.8000,4.7521,9.0560,1.4314,1.2831,2.1252
9921.6000,9816.6000,9881.8120,16.1760,9883.0000,5.3261,25.2528,1.5660,1.3726,0.8327
9922.0000,9822.2000,9882.6890,16.3299,9883.4000,7.4476,11.7824,0.7521,0.7894,0.7313
9920.0000,9826.2000,9883.7010,16.3496,9884.7000,3.5606,5.9846,0.6143,1.0034,0.5971
9924.8000,9825.0000,9883.7010,17.2205,9884.5000,5.4292,7.8868,0.3862,0.6316,0.9952
9921.8000,9821.6000,9883.4720,17.3666,9885.0000,4.2411,18.8158,1.4578,1.6797,0.8902
9925.6000,9829.0000,9882.8750,16.8755,9884.0000,5.7551,3.8287,0.9162,0.4157,1.0902
9926.6000,9825.6000,9882.7120,16.5444,9883.2000,8.7353,8.0509,0.4781,1.2139,0.9229
9921.0000,9827.8000,9881.7730,16.5184,9883.0000,2.4378,10.2928,0.4557,0.9383,0.5451
9923.0000,9807.4000,9881.7170,17.8712,9882.4000,3.4476,9.7023,1.0005,0.4050,0.8561
9919.0000,9826.2000,9881.3280,17.2001,9883.1000,3.2706,7.6159,1.7919,0.7820,1.5546
9925.2000,9826.6000,9880.3130,16.8218,9881.4000,5.2813,6.6196,0.7942,0.1800,1.0149
9924.0000,9818.8000,9879.9390,18.2366,9881.0000,3.8287,8.2406,0.7666,0.8560,1.1347
9920.0000,9820.4000,9879.2670,17.9216,9880.6000,4.3609,9.7023,1.6051,0.6130,1.7635
9924.0000,9815.6000,9876.4730,18.0598,9877.8000,6.3881,9.7227,1.1507,0.9527,1.4627
9917.4000,9810.4000,9875.7270,18.1095,9877.1000,1.9502,14.7159,1.1083,0.9429,1.4215
9919.6000,9819.8000,9876.2730,17.7275,9877.6000,4.3426,4.0986,1.0270,0.5685,1.3862
9917.2000,9817.6000,9876.3490,17.7678,9877.4000,4.8101,7.6729,1.0641,0.2987,1.7352
9913.6000,9821.0000,9873.7040,18.0629,9874.9000,3.1847,8.0852,1.1696,0.7711,1.8459
