max,min,mean,std,median,stderr (max),stderr (min),stderr (mean),stderr (std),stderr (median)
9019.0000,8771.0000,8902.2230,41.6179,8902.0000,10.9384,19.7847,3.5534,2.1140,2.6705
9513.0000,9349.2000,9439.2150,29.2066,9439.8000,15.7107,10.9276,5.7413,1.4385,6.2833
9645.0000,9503.6000,9577.1560,25.2326,9577.2000,10.5700,8.2213,5.9464,1.1156,4.7688
9703.2000,9563.6000,9645.7940,23.2660,9647.0000,12.2441,18.5827,5.1592,0.5970,5.3317
9747.4000,9620.6000,9690.9360,21.7138,9691.7000,12.4717,5.8575,4.3114,1.1127,4.5127
9773.6000,9659.0000,9722.6930,20.8425,9723.4000,6.3132,8.1341,5.0284,0.5993,5.3631
9800.2000,9672.8000,9745.3970,21.0263,9746.7000,10.0197,9.2379,4.1833,1.5383,4.8715
9812.2000,9702.8000,9766.7330,19.7116,9768.3000,1.7123,9.0647,3.4941,0.7025,2.7724
9826.2000,9721.4000,9781.9350,18.9137,9782.4000,5.0118,13.4646,3.8251,0.4348,3.2918
9842.0000,9723.8000,9795.0100,18.7683,9797.0000,8.1341,14.9933,3.4540,0.8076,3.1472
9850.0000,9747.6000,9806.6200,18.3664,9807.6000,5.1522,5.2133,3.8179,0.8226,3.6486
9862.4000,9749.0000,9815.3710,18.2336,9816.2000,4.1082,29.6370,1.7742,1.9466,1.7969
9867.4000,9762.4000,9824.4480,17.8803,9824.8000,5.8575,10.9493,2.5345,0.7618,2.4701
9880.2000,9767.6000,9832.8670,18.0104,9833.3000,8.9327,17.2447,2.3508,0.6609,2.3467
9880.6000,9787.2000,9839.7370,17.1619,9841.3000,5.2133,5.9514,1.8135,0.3787,2.1252
9886.0000,9770.0000,9844.1400,18.1866,9845.5000,3.5606,9.6491,2.8038,0.6430,2.4781
9888.8000,9798.6000,9850.7280,16.5142,9851.1000,4.0500,10.0039,2.4367,1.0164,2.4051
9897.8000,9784.4000,9854.9710,17.0173,9856.8000,3.9509,15.8313,1.8915,0.7724,2.4701
9900.0000,9802.8000,9860.9610,16.7247,9861.6000,4.4951,11.5274,1.9583,0.8103,1.4559
9902.8000,9800.0000,9864.2920,16.0318,9864.4000,2.9118,22.5633,0.6453,1.0160,1.6474
9909.2000,9811.0000,9867.3890,16.8932,9868.3000,4.3335,8.1341,1.3472,0.9650,1.8243
9909.8000,9807.8000,9871.1310,16.9600,9871.7000,1.7123,9.0647,1.6259,1.3830,1.5924
9912.4000,9813.4000,9873.6070,17.3187,9874.8000,4.3880,15.1274,1.1707,0.6046,1.2823
9918.6000,9818.0000,9875.9980,16.7669,9877.8000,7.1379,13.7182,0.8882,1.2230,1.2025
9914.6000,9822.4000,9878.9870,16.0488,9880.3000,2.4051,4.5650,0.3734,0.5769,0.8676
9921.8000,9823.8000,9880.7960,16.1961,9881.9000,8.4071,6.8200,1.0179,0.4958,1.1082
9923.2000,9819.0000,9883.0870,15.9539,9884.8000,1.5924,17.0413,0.7455,0.9387,0.3981
9921.6000,9823.2000,9885.2070,16.0242,9886.3000,1.9502,13.8819,0.7595,0.9357,0.7448
9923.6000,9830.2000,9885.8910,15.4951,9887.2000,6.5292,14.9005,1.4669,1.0341,1.3573
9923.2000,9832.6000,9888.2940,15.7966,9889.4000,2.1252,5.6509,1.0224,0.8486,1.3862
9927.8000,9827.6000,9890.4430,15.9240,9891.7000,4.0008,15.1405,0.7316,0.8729,1.3203
9934.0000,9837.2000,9890.5100,16.5510,9892.0000,5.6298,4.5127,1.5103,1.1783,1.9144
9930.6000,9834.4000,9892.0310,16.2136,9893.2000,3.2463,15.9435,0.9947,0.7578,0.7448
9931.0000,9835.4000,9892.7520,16.2995,9894.1000,5.0355,10.0434,1.1948,1.0352,1.6772
9931.0000,9840.4000,9893.5680,15.1803,9894.7000,4.1752,15.1797,0.6741,0.6288,0.8676
9931.6000,9838.2000,9894.6080,15.9187,9895.9000,5.8236,13.1340,1.4115,1.0776,1.4215
9932.2000,9834.2000,9896.3760,15.7434,9897.0000,2.4701,15.9534,0.5058,1.0613,0.6294
9933.2000,9835.0000,9896.2130,16.7298,9898.8000,7.1045,10.8475,0.7348,1.0372,1.1171
9933.0000,9826.8000,9896.7360,16.7510,9898.3000,1.5418,17.5837,1.1754,0.8992,1.3203
9932.4000,9844.4000,9897.0470,15.4649,9898.2000,1.9502,4.0106,0.5588,0.6824,0.7448
9934.4000,9833.4000,9897.3730,16.2776,9898.7000,3.9106,10.0237,1.0040,0.7801,1.3933
9934.2000,9834.2000,9898.3570,15.7342,9899.7000,6.0831,16.5027,0.4044,0.8355,0.3981
9934.0000,9838.2000,9898.1210,16.1142,9899.3000,3.0836,26.4018,0.7735,1.5477,0.3981
9935.8000,9838.8000,9900.0590,15.7926,9901.2000,3.9509,15.1248,1.2521,1.0157,1.7123
9934.0000,9831.4000,9899.0850,16.0838,9900.8000,1.8883,16.9200,0.9493,0.6927,0.6750
9940.8000,9848.4000,9900.8260,15.6025,9901.3000,4.2876,13.2421,0.5364,0.4222,0.3981
9936.4000,9834.2000,9900.4540,15.7098,9901.6000,3.7556,26.4318,0.4974,1.1569,0.4876
9936.4000,9843.2000,9900.3070,15.6378,9901.9000,6.5292,5.5376,0.9516,1.1788,1.1943
9941.8000,9844.6000,9900.5570,15.9269,9901.6000,7.8212,4.0106,1.1741,1.0245,1.3862
9938.0000,9834.4000,9900.4960,15.9127,9901.4000,1.6653,15.9435,0.7287,0.8113,1.1943
9938.6000,9841.8000,9901.3170,16.2758,9902.4000,3.5939,15.4103,0.9255,1.1687,1.3128
9938.2000,9853.6000,9902.1610,15.7674,9903.0000,4.8101,3.1847,1.0601,0.1160,1.6653
9939.8000,9844.8000,9902.4490,15.4776,9903.4000,2.4701,14.9005,0.7972,1.3182,1.4895
9939.4000,9837.2000,9902.3620,15.6710,9903.6000,1.3500,12.4844,1.1625,0.8553,1.3862
9939.2000,9849.0000,9902.3600,15.5635,9903.7000,5.6087,6.5413,0.7904,0.9502,1.5289
9940.2000,9853.0000,9902.4800,15.5627,9903.7000,5.7482,6.7792,1.4119,0.4526,0.9751
9937.6000,9839.6000,9902.0330,16.1347,9904.0000,5.2133,17.1987,0.6731,0.8421,1.0438
9938.2000,9840.2000,9902.7500,16.0862,9903.0000,2.6256,6.7028,1.0214,0.6581,1.0902
9939.4000,9841.2000,9903.1850,16.1094,9905.0000,4.3880,14.9005,1.0393,0.7049,1.8883
9938.4000,9847.8000,9902.7050,15.5644,9904.2000,4.7771,14.8071,1.0322,0.9907,1.3203
9941.0000,9841.0000,9902.9260,15.7698,9903.9000,3.2095,13.7471,1.1112,0.3662,1.4895
9940.2000,9854.2000,9902.9600,15.3953,9903.7000,4.5996,7.3512,1.4717,0.6524,1.7123
9938.8000,9835.0000,9902.8980,16.7007,9904.8000,3.5271,5.1522,1.0188,0.7418,0.5075
9938.8000,9841.4000,9902.0090,16.2677,9903.4000,2.1252,11.8361,1.1790,0.3217,1.7352
9937.6000,9848.4000,9903.6640,15.7417,9904.8000,6.2184,14.7696,1.0836,1.0160,1.3573
9942.4000,9856.0000,9904.2730,15.1707,9905.5000,3.3662,10.5325,0.8443,0.9191,0.9952
9939.0000,9858.2000,9903.9040,15.1492,9905.0000,3.1472,5.7137,0.8203,0.3206,0.6294
9944.8000,9838.0000,9903.0170,16.3385,9904.7000,4.2411,11.5034,1.5310,0.7691,1.3203
9935.6000,9842.0000,9902.8430,15.6198,9903.9000,2.4051,17.2952,1.5402,0.6980,2.2782
9940.4000,9840.4000,9902.5470,16.1111,9904.5000,3.8596,13.7413,1.1773,1.1119,1.8883
9939.8000,9842.2000,9901.9270,16.3528,9903.1000,2.5490,12.3729,1.4137,0.3822,1.5546
9941.4000,9830.2000,9903.6120,17.0143,9904.8000,4.1562,25.7254,0.9796,1.3666,1.0246
9944.6000,9848.8000,9903.4890,16.2967,9903.9000,3.6486,8.9769,0.9453,0.7881,0.6602
9940.4000,9840.8000,9903.0280,16.2465,9905.2000,2.9923,13.2541,1.3215,0.4001,1.4627
9941.6000,9850.2000,9903.4980,16.3171,9904.8000,2.2343,8.3124,0.5118,0.5787,0.9751
9941.2000,9829.6000,9903.6150,16.1874,9904.8000,3.5271,12.7077,1.9066,1.1402,1.6232
9942.6000,9844.2000,9904.1090,16.4211,9905.1000,5.5089,8.7535,1.1729,0.6373,1.8988
9938.4000,9835.8000,9903.3150,16.7759,9904.7000,1.3500,15.4872,1.4807,0.8183,0.8676
9942.8000,9848.6000,9902.8170,16.2835,9903.4000,4.3335,12.1336,0.5193,1.3413,0.7962
9943.2000,9841.6000,9903.7980,15.8801,9904.8000,2.7000,21.6913,1.2912,0.7170,1.3573
