mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9005.8000,8776.8000,8900.1080,41.1428,8901.0000,9.3445,14.6457,3.0969,1.7995,2.1576
9522.2000,9364.8000,9445.6960,28.8358,9446.5000,19.1993,10.2155,7.9982,2.3145,8.5439
9662.8000,9531.8000,9605.5333,24.3713,9607.0000,8.5936,13.6080,6.8907,1.3365,7.5006
9744.0000,9627.2000,9687.3947,21.8247,9687.7000,8.4682,17.7519,7.9598,1.6192,8.8547
9792.6000,9681.4000,9741.5267,20.8162,9741.3000,14.7428,9.1344,6.4944,0.6109,6.2596
9822.2000,9717.0000,9777.9947,18.9443,9779.2000,9.4709,12.1074,4.0198,0.6596,4.3790
9850.6000,9741.2000,9804.7133,18.6802,9806.4000,5.4000,12.4844,3.1543,0.6516,3.7158
9867.4000,9755.6000,9823.5920,18.4238,9824.6000,5.8236,13.6400,3.3243,0.9803,3.1060
9878.6000,9777.6000,9838.0920,17.5980,9839.3000,8.8927,19.3760,4.0015,0.9081,3.5966
9888.0000,9798.2000,9849.9547,16.7627,9851.3000,6.0701,2.9790,3.4885,0.5995,3.2646
9896.4000,9797.0000,9858.8653,16.5707,9860.0000,2.4051,11.9095,1.8086,0.9879,2.5761
9901.2000,9797.8000,9864.7280,16.8315,9865.8000,5.3926,16.3702,1.9608,1.2248,2.6067
9904.4000,9819.0000,9871.2440,15.4466,9872.6000,2.5645,7.2317,1.3290,0.6445,1.4895
9910.2000,9815.4000,9873.0347,16.8169,9874.8000,2.7724,7.9767,1.9053,0.4970,2.1018
9915.0000,9822.8000,9877.7453,16.6393,9878.1000,5.9046,13.1340,2.9100,0.7021,2.0971
9917.0000,9819.2000,9878.9627,16.4906,9880.2000,5.6998,21.4507,0.9519,1.0289,0.2438
9917.6000,9823.8000,9880.2440,16.8440,9881.1000,1.6170,11.0358,0.3780,0.7837,0.9649
9918.6000,9826.2000,9882.2213,16.8406,9883.7000,2.8568,9.0647,1.3970,1.0004,1.0719
9918.0000,9818.0000,9882.2280,16.9345,9883.8000,1.7803,11.7082,1.1504,0.3016,1.3573
9921.0000,9814.4000,9882.8400,17.1691,9884.5000,4.8756,15.5917,2.1308,0.8490,2.2695
9920.6000,9822.8000,9883.8760,16.9599,9885.0000,5.5448,18.7293,1.2107,1.1992,1.0438
9921.4000,9815.8000,9883.2280,16.8855,9884.4000,3.4245,20.5451,1.3692,1.0540,1.8459
9920.6000,9829.8000,9884.2147,17.1430,9885.6000,4.3426,16.2852,0.7931,0.5185,1.3862
9928.2000,9835.6000,9884.9507,16.8790,9885.6000,3.1723,8.0999,0.8857,0.9944,1.0626
9923.2000,9818.0000,9883.3440,17.1569,9884.1000,3.0448,16.3653,0.7752,1.1911,1.1943
9924.6000,9827.0000,9884.8413,16.2425,9885.7000,6.7382,6.5109,0.9278,1.1967,0.7448
9922.8000,9819.0000,9884.1027,17.2592,9885.4000,3.2948,11.2421,1.6987,0.5721,1.5224
9919.8000,9831.8000,9884.1400,16.3097,9885.9000,2.6256,11.1074,1.2952,0.6270,2.2782
9920.2000,9821.6000,9882.8573,17.0173,9884.5000,6.1800,5.4000,1.1953,0.6902,0.8902
9925.6000,9837.6000,9883.3227,16.7401,9885.0000,2.0493,5.1752,1.2976,0.6787,2.0876
9921.2000,9823.8000,9882.6533,17.3991,9884.0000,6.9921,12.4208,0.7899,1.5444,1.1347
9923.2000,9811.4000,9883.1413,17.5404,9883.7000,6.7617,20.0690,0.5426,1.0569,0.9751
9921.0000,9823.0000,9882.9920,16.9597,9883.2000,3.0187,16.0104,1.3204,0.9079,1.7123
9919.4000,9829.6000,9881.8067,16.9399,9882.5000,5.7206,12.6609,1.6560,1.2662,0.9952
9919.6000,9822.2000,9880.8840,17.5828,9882.0000,7.2754,5.3926,1.2943,0.2244,2.5373
9918.4000,9816.6000,9880.9693,17.2875,9882.7000,2.3212,11.7014,1.8546,0.5093,1.5289
9919.2000,9824.2000,9881.1293,16.9934,9882.0000,2.9118,5.1290,1.7225,1.0701,1.6353
9921.8000,9823.6000,9881.8320,16.8145,9881.8000,6.9921,14.4578,0.2561,0.8634,0.6750
9921.2000,9816.6000,9879.1880,17.6793,9880.6000,6.9921,14.4029,1.4449,0.8632,1.5224
9921.4000,9819.4000,9879.6600,17.9594,9880.8000,4.7771,13.4056,1.1808,1.2841,2.0541
9922.8000,9805.2000,9879.7987,18.7179,9881.0000,5.1675,16.6223,1.1328,1.7036,1.2976
9920.8000,9821.6000,9879.4653,17.9679,9880.8000,5.6789,9.0909,0.6074,0.8698,0.8676
9921.8000,9822.0000,9880.0800,17.6869,9881.1000,4.7688,9.4415,1.3983,0.8570,1.3862
9919.8000,9820.6000,9879.8240,17.6469,9880.2000,5.6087,14.9031,1.7243,0.4576,1.9040
9923.8000,9815.6000,9879.0653,18.0499,9880.8000,7.7959,13.3018,1.0446,1.1233,1.1606
9922.4000,9822.6000,9879.5680,17.6698,9880.6000,4.2036,10.2774,2.2325,0.3995,2.4051
9925.8000,9833.6000,9879.1560,17.0121,9879.9000,4.6850,6.4988,1.0762,0.4477,1.4215
9918.0000,9819.0000,9878.7893,17.8797,9878.9000,2.5952,9.1647,0.3235,0.9392,0.9121
9919.0000,9809.8000,9878.6587,18.1065,9879.7000,4.1275,34.7355,0.7399,1.5033,0.8676
9916.6000,9823.0000,9877.3093,17.5145,9877.7000,4.3880,10.0513,2.4263,1.2629,2.9287
9924.4000,9819.0000,9877.0387,18.0464,9877.6000,6.5292,14.9085,0.9556,1.4320,1.3128
9922.6000,9822.0000,9877.5947,17.5202,9879.4000,8.9149,9.3148,0.9509,0.4967,0.9649
9916.8000,9824.2000,9877.3547,16.9171,9878.2000,2.7000,7.9966,1.6882,0.6140,2.6256
9917.0000,9820.2000,9875.9613,17.8956,9877.0000,3.8287,11.7318,1.1261,1.2393,1.3718
9922.8000,9813.2000,9876.3467,19.2256,9878.0000,7.1601,6.8200,1.3728,0.7212,1.7803
9918.2000,9825.6000,9876.5573,17.8861,9877.6000,4.7271,6.9978,1.5012,1.2711,1.9502
9915.6000,9811.6000,9876.3427,18.9383,9878.8000,2.1438,14.5126,0.9574,0.9021,1.7969
9920.8000,9812.8000,9876.9427,18.5289,9877.3000,6.7323,10.9094,1.1281,0.5557,1.5924
9917.6000,9807.0000,9875.7493,19.4775,9877.0000,6.6196,15.6981,0.5069,1.7851,1.0902
9919.4000,9813.4000,9874.2853,18.3672,9876.1000,8.2213,4.4774,1.0821,1.1947,1.5546
9916.8000,9824.2000,9874.5520,18.2659,9875.5000,5.5376,11.3018,1.0203,2.2482,0.8327
9917.4000,9813.2000,9875.2133,18.6288,9876.4000,2.4051,15.0986,1.8660,0.9580,2.2343
9915.6000,9804.0000,9874.2227,19.2936,9875.5000,1.4895,17.3638,1.4224,1.6679,1.7803
9916.4000,9822.0000,9875.0733,17.4835,9874.9000,4.0106,5.4511,1.3124,0.6076,1.7914
9914.0000,9827.6000,9875.9800,16.8657,9877.2000,2.0876,9.4331,1.6569,0.3314,1.4284
9918.6000,9807.8000,9874.4373,18.6138,9875.5000,5.4000,13.7816,1.4916,0.6161,1.0438
9919.0000,9804.6000,9875.7027,18.1611,9877.3000,5.3037,31.3368,2.1204,1.1639,2.3041
9921.8000,9794.8000,9874.3493,19.1558,9875.4000,9.5126,34.8721,1.2665,2.5353,0.7962
9916.0000,9818.8000,9875.1507,17.5848,9876.3000,5.1522,10.1766,0.8940,0.9321,1.8243
9916.8000,9812.6000,9874.0333,18.3927,9875.7000,4.9321,13.3316,2.0050,1.4299,2.1252
9915.0000,9823.6000,9874.4760,17.8832,9875.5000,3.9308,7.1932,1.5484,0.7826,2.6705
9916.4000,9816.8000,9873.4520,18.3021,9874.2000,7.6211,10.5962,1.2495,0.4972,2.4092
9913.4000,9805.8000,9873.2573,18.4938,9874.1000,4.2036,12.6107,1.2509,1.1286,1.2745
9917.0000,9813.4000,9873.1960,19.0734,9873.8000,5.4873,12.9395,0.8328,0.9225,1.6831
9919.4000,9814.2000,9874.5293,18.7263,9876.1000,7.6211,9.7796,1.3825,0.7756,1.0149
9915.8000,9815.0000,9872.1827,17.8892,9873.7000,4.5127,5.9381,1.7197,0.9259,2.0299
9919.8000,9815.2000,9872.2120,19.0716,9873.1000,6.7617,14.0380,0.4694,0.8013,0.6602
9915.0000,9820.6000,9872.9320,17.7973,9873.7000,3.0187,9.2207,1.4636,0.8173,2.5099
9915.2000,9815.8000,9871.9347,18.9796,9872.5000,3.5828,10.2735,1.8012,0.4387,1.8351
9915.8000,9821.0000,9872.0800,18.3867,9872.7000,6.0831,3.6158,0.4561,1.2617,0.8676
