max,min,mean,std,median
8994.8000,8816.8000,8905.4750,42.0490,8904.0000
9093.8000,8911.8000,9012.7350,40.6170,9014.5000
9195.8000,9034.4000,9111.6900,36.1850,9110.7000
9293.2000,9140.4000,9219.7700,35.8172,9220.9000
9407.8000,9240.4000,9322.5450,35.5753,9323.2000
9479.0000,9347.2000,9413.4500,30.6751,9412.5000
9539.2000,9423.8000,9482.9950,26.7204,9481.7000
9588.4000,9474.6000,9535.2100,26.0751,9538.2000
9636.8000,9522.2000,9582.2450,26.0163,9583.9000
9662.0000,9565.2000,9615.1500,22.4930,9615.2000
9687.6000,9581.4000,9638.4000,22.2624,9637.9000
9710.2000,9619.8000,9665.0500,19.4101,9665.4000
9721.4000,9633.0000,9680.9450,20.2459,9684.2000
9729.4000,9645.6000,9693.2550,18.9100,9694.1000
9744.0000,9663.8000,9706.8450,17.8323,9705.9000
9754.8000,9675.8000,9712.4400,18.1951,9712.4000
9749.4000,9675.4000,9716.9850,17.5969,9716.7000
9756.6000,9677.4000,9721.0100,17.1590,9722.8000
9758.6000,9682.6000,9724.0350,17.2448,9725.3000
9759.4000,9668.0000,9728.4000,17.8414,9730.3000
9763.4000,9693.2000,9732.8850,16.5232,9735.1000
9769.4000,9688.0000,9731.7200,17.8073,9732.7000
9768.4000,9694.0000,9734.7600,16.7654,9734.6000
9769.6000,9692.4000,9736.0950,17.3139,9736.6000
9766.2000,9697.6000,9739.7750,15.3171,9740.8000
9770.8000,9700.6000,9741.0450,15.9408,9741.6000
9774.8000,9697.4000,9744.6400,15.2782,9746.7000
9778.2000,9697.0000,9745.9850,16.5650,9747.4000
9778.8000,9701.4000,9745.9450,16.9034,9746.4000
9777.4000,9711.4000,9750.3200,14.7206,9752.4000
9774.4000,9711.0000,9750.4500,14.9053,9752.0000
9783.4000,9722.4000,9755.8050,14.7195,9758.1000
9783.0000,9709.2000,9753.6500,15.7712,9755.9000
9782.4000,9721.4000,9759.7300,13.6049,9761.4000
9784.4000,9708.2000,9760.6450,15.1752,9762.7000
9785.6000,9716.2000,9762.7800,14.0321,9766.2000
9786.6000,9725.0000,9764.1750,14.7202,9767.7000
9790.4000,9724.8000,9764.5550,14.5269,9765.9000
9792.0000,9729.0000,9768.6950,13.5020,9770.7000
9793.8000,9721.6000,9769.9100,14.6316,9771.9000
9792.0000,9736.2000,9771.8250,13.1703,9772.9000
9794.2000,9734.8000,9774.3250,13.9425,9776.4000
9795.4000,9746.0000,9776.5150,12.5169,9778.2000
9795.8000,9730.8000,9777.8400,13.0554,9779.6000
9795.4000,9746.6000,9779.0400,10.9774,9780.2000
9795.6000,9744.0000,9777.8850,11.9838,9780.5000
9796.2000,9746.0000,9780.4650,11.0710,9782.3000
9796.8000,9756.0000,9782.0900,9.8534,9783.4000
9798.4000,9755.8000,9782.7400,10.6207,9784.7000
9798.8000,9760.0000,9785.0750,9.4895,9786.6000
9798.8000,9756.6000,9785.3450,9.6230,9786.4000
9799.2000,9747.8000,9784.1200,10.5292,9785.3000
9799.0000,9751.8000,9784.3600,10.2752,9785.4000
9799.4000,9755.4000,9784.3350,10.0701,9784.5000
9799.6000,9750.2000,9785.0050,10.9866,9786.9000
9799.6000,9758.4000,9786.1500,9.9441,9788.4000
9800.4000,9761.6000,9785.4450,9.1622,9786.7000
9800.0000,9752.6000,9783.2700,11.2056,9785.0000
9800.6000,9746.2000,9783.6400,11.1105,9785.1000
9800.6000,9751.4000,9782.3200,11.6416,9783.7000
9801.0000,9761.8000,9785.8400,9.4323,9787.0000
9801.6000,9750.6000,9786.7800,11.4004,9789.7000
9800.4000,9756.6000,9787.8100,10.2990,9790.3000
9802.6000,9754.8000,9788.9200,11.0726,9792.6000
9803.2000,9757.8000,9790.5750,9.6506,9792.7000
9803.4000,9755.6000,9790.1200,10.7449,9791.8000
9803.8000,9756.6000,9791.3650,10.4165,9793.9000
9804.4000,9761.8000,9793.0200,9.6169,9796.3000
9803.2000,9766.6000,9791.8400,8.5293,9793.6000
9804.8000,9762.2000,9792.1550,9.6239,9794.7000
9804.6000,9761.6000,9791.8850,10.0423,9794.3000
9806.0000,9771.6000,9793.6050,8.5602,9795.7000
9806.4000,9765.0000,9794.6650,9.1213,9797.3000
9806.0000,9765.2000,9795.9600,8.4606,9798.5000
9805.6000,9768.6000,9796.4650,7.5187,9797.5000
9806.8000,9777.0000,9797.9300,6.8058,9799.6000
9807.0000,9775.8000,9797.4200,7.5404,9799.5000
9807.6000,9768.6000,9796.5000,8.5213,9799.2000
9807.2000,9771.0000,9797.9650,7.4524,9799.3000
9807.2000,9772.4000,9797.8300,7.4490,9798.0000
