max,min,mean,std,median,stderr (max),stderr (min),stderr (mean),stderr (std),stderr (median)
9019.0000,8771.0000,8902.2230,41.6179,8902.0000,10.9384,19.7847,3.5534,2.1140,2.6705
9522.0000,9352.8000,9439.4120,28.6829,9440.6000,14.9615,16.5746,1.0312,1.1237,1.4559
9657.6000,9527.8000,9596.4730,24.3030,9596.9000,9.6819,8.2646,2.1915,1.3254,2.4861
9736.6000,9618.6000,9681.8990,21.5265,9683.3000,7.4635,6.2501,0.9297,1.8956,1.4962
9789.4000,9674.6000,9736.9400,19.5078,9737.0000,9.8643,7.5689,1.5667,0.7315,2.5373
9827.0000,9716.0000,9774.8230,19.8031,9774.9000,6.8663,4.9562,0.7198,0.5015,1.0149
9853.2000,9742.0000,9802.3450,19.1171,9803.3000,10.7078,21.3545,1.8765,0.7162,1.4627
9865.6000,9768.8000,9824.6530,17.3664,9825.0000,5.7206,10.5400,1.1449,0.6731,0.8902
9881.4000,9776.4000,9839.5840,17.5236,9841.2000,4.4774,7.7755,1.2836,1.2790,1.2823
9895.0000,9788.6000,9852.1240,18.0967,9852.6000,7.2317,13.0614,1.5955,0.9392,1.8188
9899.4000,9799.4000,9860.9180,17.0698,9861.7000,3.8080,9.8039,1.5771,0.7484,1.3933
9908.8000,9808.0000,9869.6780,17.1581,9871.3000,7.5111,7.9618,1.4259,1.1245,1.2430
9914.0000,9808.6000,9875.2510,17.0408,9876.6000,4.6680,15.4513,1.5539,0.6884,2.2120
9919.6000,9824.6000,9881.4380,16.1252,9881.8000,4.6510,7.3835,1.1777,0.3597,1.3203
9916.8000,9823.0000,9883.3990,16.4649,9884.8000,2.9118,7.1767,1.5694,0.6753,1.8243
9925.0000,9820.8000,9886.6160,16.8669,9887.7000,2.9523,8.9769,1.3925,1.0337,1.7123
9927.4000,9824.4000,9888.2010,17.0596,9889.2000,3.3662,14.7159,1.2064,1.2600,1.9553
