mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9019.0000,8771.0000,8902.2230,41.6179,8902.0000,10.9384,19.7847,3.5534,2.1140,2.6705
9524.4000,9353.8000,9453.0940,28.1718,9454.3000,10.6745,11.5789,5.2092,1.7120,5.3093
9672.2000,9521.8000,9610.4500,24.8801,9611.6000,7.2699,12.3568,6.1109,0.6857,6.0324
9750.0000,9630.0000,9693.8100,22.0489,9693.8000,2.7436,7.7857,4.8150,0.9994,5.9180
9801.8000,9687.8000,9746.3940,20.3992,9747.5000,9.0647,6.2754,5.0207,0.9361,5.3779
9825.0000,9725.2000,9783.7670,18.4207,9784.0000,4.7936,5.2813,4.2232,1.1668,4.0304
9855.0000,9748.4000,9810.0510,18.4183,9811.4000,6.6613,6.9978,4.1546,1.4431,4.7040
9874.8000,9768.6000,9829.5690,18.3917,9830.0000,7.2152,11.9361,2.9762,0.8660,3.0836
9884.8000,9786.4000,9845.9200,17.0777,9847.2000,2.9790,9.8240,2.8537,1.2117,2.6256
9900.6000,9794.4000,9857.4770,16.3896,9858.4000,4.5650,2.5645,2.9783,0.5300,3.3662
9906.8000,9797.4000,9865.8970,16.9244,9867.3000,3.2341,19.3453,2.3666,1.3263,2.7724
9906.6000,9809.8000,9872.1140,16.0911,9873.2000,1.7352,8.3362,2.0234,0.3831,1.6232
9915.8000,9818.8000,9878.2030,16.2390,9878.8000,1.4627,7.9469,0.9194,0.2136,1.2025
9920.0000,9824.6000,9882.4620,15.5202,9882.1000,3.1472,7.3835,0.7561,0.8311,1.2745
9925.8000,9827.6000,9884.7950,16.2553,9886.6000,4.9321,4.1082,0.8057,0.6530,0.7962
9922.4000,9822.4000,9887.3450,17.2795,9889.3000,2.7146,15.7309,0.7107,0.8218,0.9229
9924.6000,9816.2000,9888.7940,15.7457,9889.6000,1.3500,19.1787,1.7004,0.5917,1.8459
9926.6000,9841.8000,9891.4510,15.2624,9892.0000,4.2036,10.6707,0.8166,0.8233,1.0902
9930.2000,9834.8000,9890.3790,16.6714,9892.0000,3.7450,5.7482,0.4094,0.1729,0.6294
9931.0000,9829.0000,9890.6980,16.7349,9891.8000,2.0876,13.9616,0.9337,0.3235,0.7448
9932.4000,9829.8000,9892.6390,16.8700,9893.5000,2.5645,9.4289,0.5858,0.8281,0.5451
9931.6000,9834.4000,9892.8830,16.5977,9893.7000,4.3880,6.6196,1.2606,0.7791,1.3203
9931.8000,9841.6000,9893.2990,16.6957,9894.2000,3.1723,6.7087,0.5996,0.7778,0.3981
9931.8000,9833.4000,9893.2670,16.2449,9894.3000,3.1092,2.7866,1.1976,1.0719,1.5924
9931.2000,9835.2000,9893.6520,16.4184,9895.1000,5.0118,6.9352,0.8515,0.7263,1.2745
9935.8000,9839.6000,9893.1760,17.1376,9893.9000,4.2411,3.6486,0.8525,0.5619,1.4215
9930.6000,9833.4000,9892.8990,16.4747,9893.6000,1.9502,14.4989,1.1991,0.7291,1.4895
9928.6000,9828.0000,9892.6180,16.8291,9894.2000,2.3212,19.5429,0.6013,0.5855,1.7123
9933.8000,9831.2000,9892.4870,17.1607,9893.8000,2.7724,9.3233,1.5400,0.4754,1.7123
9933.0000,9836.4000,9892.3160,17.0277,9893.0000,2.7436,6.1221,1.6793,1.1941,2.5952
9932.2000,9831.4000,9894.0110,16.5541,9894.9000,2.0299,8.7126,0.9359,0.7262,1.1082
9929.2000,9832.0000,9892.5860,16.5003,9893.0000,4.0986,13.6893,1.3583,0.9307,1.8619
9932.8000,9833.2000,9892.0470,17.0905,9893.3000,2.4701,11.6301,1.3685,0.7877,1.0719
9932.8000,9818.0000,9891.0590,17.3666,9892.2000,4.5996,18.4694,0.8798,1.0633,1.7969
9930.4000,9838.2000,9892.5080,16.1326,9893.3000,3.9106,4.5563,0.4593,0.7975,0.5971
9933.8000,9828.8000,9891.7130,17.0468,9892.7000,4.2876,15.7409,0.4203,1.0122,0.8676
9927.6000,9830.4000,9890.8770,16.4593,9891.9000,2.8568,21.1269,1.1624,0.6569,0.6602
9933.6000,9831.8000,9890.4420,17.5519,9891.0000,2.4051,9.1734,1.1958,0.8783,1.4075
9931.6000,9831.0000,9891.0530,17.2133,9892.6000,7.0260,14.0182,0.9210,0.9687,1.0149
