mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9003.6000,8799.6000,8903.4100,46.2551,8905.8000,10.4872,19.8507,5.3264,1.3182,6.5003
9418.4000,9255.0000,9344.9100,35.1679,9346.6000,66.8139,59.3808,69.7225,3.5145,70.9285
9586.0000,9455.4000,9533.0150,29.4004,9535.0000,75.9429,73.3626,69.2800,2.8485,69.9297
9684.8000,9566.2000,9629.8200,28.1386,9631.2000,59.6949,72.8608,64.9008,3.1343,65.7945
9735.8000,9633.2000,9690.2200,22.1744,9692.3000,56.1025,58.5423,56.7479,2.1032,54.5294
9768.2000,9672.4000,9728.0350,21.7619,9730.3000,42.5947,47.7691,45.7571,1.3473,46.0636
9800.0000,9707.2000,9754.8350,20.7195,9754.8000,42.3035,39.3405,39.5109,1.7361,39.0270
9808.6000,9725.8000,9771.6250,19.4426,9773.5000,37.4691,44.8863,35.3252,2.6566,33.8713
9821.0000,9740.6000,9782.4550,17.8292,9783.1000,26.5708,39.8518,30.6546,3.5189,30.9920
9831.8000,9745.6000,9789.3350,19.5587,9790.6000,26.4168,34.2774,27.5008,2.9975,25.1979
9836.2000,9749.8000,9795.5450,18.7488,9796.2000,24.7121,22.9153,23.9963,1.4827,25.1727
9840.8000,9761.6000,9801.8800,17.7994,9803.5000,19.2509,22.9947,20.2529,2.1630,19.5860
9840.6000,9765.2000,9801.6950,16.8596,9801.9000,12.6921,23.0274,18.3120,2.7188,18.9051
9837.0000,9757.8000,9803.3250,17.0950,9804.1000,16.8895,24.7441,17.4389,1.9926,17.7931
9838.2000,9770.4000,9806.7850,15.4638,9807.0000,15.1901,21.4803,15.3586,1.3397,15.4789
9836.0000,9759.6000,9805.9450,18.1066,9808.4000,12.4781,20.3045,14.3474,1.8340,13.6582
9855.6000,9757.6000,9807.6000,20.7780,9809.2000,9.6614,24.1952,15.3450,2.6814,15.7566
9842.4000,9752.0000,9804.4500,19.2927,9806.5000,15.3484,20.3572,12.7666,1.8742,12.8534
9845.4000,9767.4000,9808.3900,16.8389,9809.5000,23.1492,13.5380,14.0358,1.9201,13.5694
9846.8000,9761.2000,9805.8400,19.5677,9805.6000,8.1681,11.8160,11.4608,1.1847,11.4447
9847.4000,9762.4000,9807.6100,18.7090,9809.2000,4.9801,22.3303,10.7284,2.2174,10.4171
9843.2000,9774.0000,9808.0400,14.9637,9806.7000,7.1877,13.4558,11.2483,2.4364,12.2925
9843.4000,9758.4000,9804.9700,19.8086,9806.3000,3.7556,16.1288,11.1180,2.5648,9.6419
9840.0000,9765.0000,9806.3350,18.3066,9806.4000,6.2311,15.9857,10.2417,2.7543,10.7668
9848.2000,9765.2000,9807.0300,18.9595,9807.1000,9.5749,11.7992,12.8808,2.0390,13.7881
9844.0000,9749.4000,9804.7850,19.0870,9806.5000,14.9615,31.3305,10.6029,2.8782,11.3473
9837.6000,9752.0000,9806.0500,18.9118,9807.4000,13.3909,20.3960,9.8290,2.6970,9.3169
9848.0000,9763.8000,9808.6250,17.2990,9810.4000,17.7809,7.9469,11.6410,1.3015,10.6466
9840.0000,9760.6000,9807.3050,18.0751,9810.4000,11.6573,16.0055,12.5896,2.2846,12.8318
9843.8000,9748.0000,9801.9100,21.2282,9804.2000,14.8071,12.6358,10.2631,1.4793,9.9403
9839.8000,9766.8000,9804.9750,16.8894,9805.2000,14.9270,12.6264,8.7658,1.4267,9.0811
9845.0000,9761.6000,9807.0550,19.3517,9806.9000,5.6998,11.1643,7.6019,1.9651,9.8994
9844.8000,9755.2000,9804.2850,19.6420,9807.6000,7.3242,14.8071,6.6956,2.1880,7.8200
9845.8000,9763.8000,9805.7000,19.0905,9806.1000,8.6853,11.3018,9.1924,1.4453,8.4881
9843.2000,9760.0000,9805.1700,18.6561,9806.6000,10.9637,12.0911,7.7480,1.3476,7.6923
9848.0000,9763.8000,9806.7100,19.0198,9806.7000,9.2722,11.8662,7.4010,1.7216,8.1742
9845.6000,9760.0000,9806.4450,19.4765,9807.6000,9.9044,9.3784,10.0276,1.2252,10.4352
9843.2000,9759.8000,9806.0550,19.6182,9807.7000,7.7449,5.3558,7.6904,0.9155,6.0423
9839.0000,9759.0000,9804.8400,17.7306,9805.5000,9.9721,12.4144,6.4031,1.5278,6.2231
9846.6000,9747.4000,9804.1750,21.8633,9806.6000,6.3132,20.4019,8.9829,2.4629,8.4530
9851.2000,9741.6000,9805.0000,20.7632,9806.3000,2.4701,16.8496,5.6058,1.5678,5.7396
9841.0000,9762.6000,9805.2800,18.2110,9806.5000,6.4190,12.0188,10.3886,2.9323,11.8176
9843.6000,9754.2000,9801.2900,20.2772,9802.3000,16.7079,15.3587,10.8317,2.6938,9.4132
9844.8000,9745.2000,9804.7300,20.3747,9807.1000,12.8750,14.2620,7.7645,2.0256,7.7500
9838.8000,9756.8000,9803.7900,18.5373,9805.9000,12.0484,15.2682,11.3492,1.0309,11.3141
9843.6000,9761.0000,9805.3650,18.9297,9805.4000,15.1143,12.2700,9.4871,2.7983,9.5738
9841.4000,9745.2000,9802.4350,20.6715,9804.4000,7.1932,15.7786,11.1395,1.9204,11.8653
9853.0000,9760.2000,9805.2900,20.0529,9806.0000,11.5891,10.4835,8.4277,2.1999,10.3761
9846.4000,9750.8000,9808.0250,21.3246,9810.6000,6.3445,22.6282,9.5744,3.5644,9.3858
9844.8000,9765.0000,9806.0400,18.8789,9805.6000,11.2667,3.8287,7.0105,1.8948,7.6341
9845.2000,9758.0000,9808.2800,20.5572,9809.4000,7.1045,16.6652,8.6886,1.2369,11.3141
9843.4000,9756.8000,9806.5600,20.8159,9807.1000,10.6559,20.3902,9.4066,3.0705,7.0471
9844.0000,9766.6000,9806.5800,18.5105,9807.0000,12.6201,14.4304,9.7756,2.5667,9.4415
9846.2000,9748.6000,9808.8700,19.8673,9810.6000,10.7632,20.5374,8.6890,2.2454,7.8768
9851.6000,9754.2000,9805.7750,21.2319,9806.5000,17.7653,18.2363,10.0092,1.9281,10.5513
9848.0000,9756.0000,9806.6300,21.2522,9806.8000,10.2077,14.3947,8.6249,0.7125,8.9327
9849.2000,9753.4000,9806.3350,21.1790,9807.7000,13.2541,6.1864,6.7530,1.5891,5.6351
9847.8000,9750.0000,9804.5050,21.7084,9804.8000,7.7959,20.6566,8.3786,1.3005,8.3540
9849.6000,9749.4000,9806.7050,20.4323,9807.8000,12.1172,12.4080,7.8537,2.0090,7.7449
9841.4000,9758.0000,9806.6150,19.4244,9808.4000,8.8256,19.1435,7.6206,3.1418,6.4605
9847.0000,9759.4000,9806.5600,19.8620,9806.0000,10.6261,11.0931,6.1255,3.1101,6.1350
9845.2000,9753.6000,9806.1100,20.3219,9806.3000,7.2699,10.4304,5.9391,3.0750,6.3461
9852.2000,9763.4000,9807.9200,19.4327,9809.5000,11.9990,7.7244,5.5881,1.4546,6.0945
9847.2000,9764.6000,9807.4100,19.3453,9807.8000,2.7000,6.8258,5.4851,1.0965,7.0415
